Title,Price,Description,Link,Date,Usage
Sportvloertegels,"€ 18,00","Sportvloertegels +- 2 cm dik 18,- per tegel gebruikt maar in goede staat! 186 M2 voorradig! Trefwoorden: gewichten, gewichtsschijv",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2200871312-sportvloertegels,Vandaag,Nieuw
Strongman olympische halterstang 220 cm met 30 % KORTING,"€ 229,00",Strongman olympische zwarte halterstang 220 cm nu in de aanbieding van voor € 229! Bekijk deze top aanbieding via de ondersta,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1116299818-strongman-olympische-halterstang-220-cm-met-30-korting,Vandaag,Nieuw
Complete Gym Equipment,"€ 750,00",Hierbij verkoop ik mijn gym equipment. Het bestaat uit het volgende: stangen: 2x halterstang 1x curl stang 4x dumbell gietijzeren,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2219083027-complete-gym-equipment,Vandaag,Zo goed als nieuw
VirtuFit Olympische Halterstang - 50 mm - 200 cm,"€ 89,90",Ben je op zoek naar een halterstang die je krachttraining naar een hoger niveau tilt? Zoek niet verder! De virtufit olympische hal,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1505863422-virtufit-olympische-halterstang-50-mm-200-cm,Vandaag,Nieuw
Olympische Woman bar - 200cm & 15 kg,"€ 70,00",Professionele olympische halterstangen ook 220 cm - 20 kg op voorraad van hoogwaardige kwaliteit en geschikt voor professioneel ge,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2184824306-olympische-woman-bar-200cm-15-kg,Vandaag,Zo goed als nieuw
Olympische Halterstang 220 cm EKO,"€ 179,00","Olympische halterstang 220 cm eko nu in de aanbieding van voor € 179,00! Bekijk deze top aanbieding via de onderstaande link.",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1383058632-olympische-halterstang-220-cm-eko,Vandaag,Nieuw
"NIEUWSTAAT! 117,5KG TECHNOGYM PU URETHANE HALTERSET","€ 450,00","117,5 kg olympische halterset. Halterset bestaat uit een halterstang 220cm 50 mm met 97,5 kg technogym plates en 2x veerklemmem. I",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2216118501-nieuwstaat-117-5kg-technogym-pu-urethane-halterset,Vandaag,Zo goed als nieuw
VirtuFit Olympische Halterstang - 50 mm - 220 cm,"€ 109,90",Ben je op zoek naar een halterstang die je krachttraining naar een hoger niveau tilt? Zoek niet verder! De virtufit olympische hal,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1505863417-virtufit-olympische-halterstang-50-mm-220-cm,Vandaag,Nieuw
Ziva PU halterschijven 445 kg set,"€ 1.150,00","Ziva pu halterset 4 x 25 kg 6 x 20 kg 8 x 15 kg 6 x 10 kg 6 x 5 kg 4 x 2,5 kg 4 x 1,25 kg 445 kg totaal €2,50 per kg trefwoor",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2218042636-ziva-pu-halterschijven-445-kg-set,Vandaag,Zo goed als nieuw
"TRUUSK Lange Halterset 20 Kg, Incl. 6 Halterschijven, 2 X 5","€ 86,57","Nieuwjaarskorting bij truusk | 10% korting op alles! - Geen risico: gratis verzending & retourneren - voorraad is beperkt, dus",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1503664385-truusk-lange-halterset-20-kg-incl-6-halterschijven-2-x-5,Vandaag,Nieuw
Half-rack/powerrack + 125kg halterset- sportschool kwaliteit,"€ 550,00","Half rack- powercage - squatrack- powerrack met olympische barbell/halterstang, 105 kg olympische halterschijven van lifemaxx. Com",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2215392916-half-rack-powerrack-125kg-halterset-sportschool-kwaliteit,Vandaag,Zo goed als nieuw
Toorx Professional Dubbele Landmine voor LDX-5000,"€ 69,00","Upgrade je trainingsroutine met de dubbele landmine voor ldx-5000 wallbar, een veelzijdig fitnessaccessoire dat speciaal is ontwor",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1508650841-toorx-professional-dubbele-landmine-voor-ldx-5000,Vandaag,Nieuw
Grote voorraad Bumperplates,"€ 2,00","Bumperplates van: - crossmaxx - titan life - pendlay prijs is 2,- per kilo minimum afname 60 kg trefwoorden: gewichten, gewichtssc",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2176244719-grote-voorraad-bumperplates,Vandaag,Nieuw
Gietijzeren Halterschijf - Halter gewicht - 30 mm schijven,"€ 1,50",Deze halterschijven zijn een ideaal startpunt om thuis te sporten. Met een halterstang en halterschijven train je onder andere je,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1367515931-gietijzeren-halterschijf-halter-gewicht-30-mm-schijven,Vandaag,Nieuw
Lifefitness Olympische halterschijven - 805 kg,"€ 1.700,00",Grote partij olympische halterschijven van lifefitness 805 kg totaal 10 x 25 kg 10 x 20 kg 10 x 15 kg 14 x 10 kg 8 x 5 kg 8 x 2.5,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2208933319-lifefitness-olympische-halterschijven-805-kg,Vandaag,Zo goed als nieuw
KRAKEN Halterstang barbell 150 cm NIEUW in de doos,"€ 69,95","Te koop aangeboden. Gloednieuwe halterstang van 1,5 meter lengte. Ideaal voor thuis of je home gym. Gratis verzending via onze web",No link,Vandaag,Nieuw
