Title,Price,Description,Link,Date,Usage
Nelson Bench DD design | bank,"€ 255,00",Nelson replica bank nelson bench eiken 123cm | 183/152/123 x 47 x 35 cm | essenhout. Bezoek onze website voor meer foto's en m,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1499043460-nelson-bench-dd-design-bank,Vandaag,Verzenden
Vintage kast antieke werkbank oude tafel stoel emaille etc,Zie omschrijving,"Were home, waar huis thuis wordt ....Http:www.werehome.nl veel keus in altijd houtworm ontwormde kasten, unieke stukken, geschilde",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1489203767-vintage-kast-antieke-werkbank-oude-tafel-stoel-emaille-etc,Vandaag,No usage
Antieke Scheepslamp? Bekijk onze nieuwe Scheepslampen (LED),Zie omschrijving,"Nieuwe scheepslampen van brons, messing en koper die meteen een antieke uitstraling geven zonder dat deze 100 jaar of ouder zijn.",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-lampen/a1018438906-antieke-scheepslamp-bekijk-onze-nieuwe-scheepslampen-led,Vandaag,Ophalen of Verzenden
Glasschilderij – Vintage – 120x80cm,"€ 149,00","Nu tijdelijk 20% korting | van €186 naar €149!! 4Mm dik gehard glas, geen plexiglas uitstekend bestand tegen krassen en",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-modern/a1495510876-glasschilderij-vintage-120x80cm,Vandaag,Ophalen of Verzenden
"antiek barkok eettafel, eetstoelen, kabinetkunst","€ 500,00","Uit erfenis van een kameraad. Barok antiek. Best bijzonder. Kabinetskast, eetstoelen, eettafel (blad afklapbaar) bureau/eettafel.",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-tafels/m2226900777-antiek-barkok-eettafel-eetstoelen-kabinetkunst,Vandaag,Ophalen
Kasteelsleutels antiek. 13 stuks. Groot formaat.,Bieden,Kasteelsleutels. Antiek. Groot formaat. Waarvan een paar hele oude. Voorkeur nadrukkelijk uit naar afhalen zodoende u de sleutels,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2227057231-kasteelsleutels-antiek-13-stuks-groot-formaat,Vandaag,Ophalen
Figurale pendule - Antiek Zinklegering - 1850-1900 -,"€ 300,00","Levering met factuur en echtheidscertificaat * 19e eeuw, frankrijk. - Zeldzaam met drie handtekeningen - elegante romantische dine",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/a1510095961-figurale-pendule-antiek-zinklegering-1850-1900,Vandaag,No usage
antiek Visitekaart houder Chinees 19 eeuws,Bieden,"Antiek visitekaart houder chinees 19 eeuws (visiting card case),  sandelwood hout gesneden werden gemaakt voor de europese markt 9",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2225929188-antiek-visitekaart-houder-chinees-19-eeuws,Vandaag,Verzenden
Antieke draaikruk pianokruk eikenhout,"€ 95,00",Antieke draaikruk pianokruk uit frankrijk van de jaren 30. Deze pianokruk is uit eikenhout vervaardigd. De zitting bevat de origin,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226507018-antieke-draaikruk-pianokruk-eikenhout,Vandaag,Ophalen of Verzenden
Antieke bloemenstandaards,Bieden,"2 stuks antieke bloemenstandaards, hand gesmeed vakwerk.(Engels). Prachtig voor in een serre. Hoogte 85 cm/maat voor de binnenpot",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226399253-antieke-bloemenstandaards,Vandaag,Ophalen
"Pendule - Franklin Mint - Antiek Aardewerk, Porselein,","€ 250,00",Hét online veilinghuis voor jou! Catawiki is het meest bezochte online platform in europa voor bijzondere objecten geselecteerd do,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/a1510095919-pendule-franklin-mint-antiek-aardewerk-porselein,Vandaag,No usage
Schouwpendule - Antiek Hout/glas - 1930-1940,"€ 3,00","Art-deco eikenhouten westminster pendule. Het betreft een groot model. Herkomst, duitsland circa 1940. Mechanich 8 daags uurwerk m",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/a1510095997-schouwpendule-antiek-hout-glas-1930-1940,Vandaag,No usage
Grote antieke ovale Franse kleuren ets vrouw met viool 1930,"€ 65,00",Grote antieke ovale franse kleuren ets vrouw met viool in originele lijst ca 1930 gesigneerd en genummerd 59 bij 49 cm door de oud,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226771811-grote-antieke-ovale-franse-kleuren-ets-vrouw-met-viool-1930,Vandaag,Ophalen
Portico klok - Antiek - Gelakt messing - 1850-1900,"€ 500,00","Antieke napoleon iii-kolomklok met glazen stolp – rijkelijk versierd, mechanisch uurwerkr r beschrijving:r deze prachtige napoleon",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/a1510096005-portico-klok-antiek-gelakt-messing-1850-1900,Vandaag,No usage
Leuke Brocante Leren Dokterstas.,"€ 20,00",Wij bieden aan een leren brocante dokterstas. - Kleur bruin. - Leer. - Goed werkende sluitng. - Van binnen netjes. - Enige slijtag,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2227101972-leuke-brocante-leren-dokterstas,Vandaag,Ophalen of Verzenden
Antieke hoekkast 18e eeuws uit Zweden,"€ 475,00",Antieke hoekkast uit zweden uit de 18e eeuw. Deze hoekkast is handbeschilderd. De kast is uit grenenhout vervaardigd. Binnenin bev,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226856206-antieke-hoekkast-18e-eeuws-uit-zweden,Vandaag,Ophalen of Verzenden
"Bijzettafel - Metaal, Steen - Vintage bijzettafeltje met","€ 3,00","Vintage bijzettafeltje met mozaïek patroon in grijs en wit. Mogelijk uit jaren '50 van de 20e eeuw. Afmetingen. Vierkant 25,50",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1510115340-bijzettafel-metaal-steen-vintage-bijzettafeltje-met,Vandaag,No usage
