Title,Price,Description,Link,Date,Usage
M.C. Escher puzzel Waterval (1000 pcs) van Jumbo Waterfall,"€ 9,00",Mooie complete puzzel van escher waterval 1000 stukjes van jumbo ik verkoop ook de puzzel tekenen van escher (drawing hands) zie l,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-overige-kunst/m2216144859-m-c-escher-puzzel-waterval-1000-pcs-van-jumbo-waterfall,25 dec 24,Ophalen
Maurits Cornelis Escher - The M.C. Escher Company -,"€ 29,00","Reproductie van de m.c. Escher - metamorphose ii. R gemaakt naar de originele houtsnede uit 1939-1940 en verdeeld over 4 delen, di",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1509864576-maurits-cornelis-escher-the-m-c-escher-company,24 nov 24,No usage
Maurits Cornelis Escher - Published by G.W. Breughel -,"€ 3,00","M.c. Escher metamorphose ,periode 1972 gemaakt op dik papier. Gesigneerd in de plaat. Het komt uit het jaar dat hij overleed. Zie",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1510007415-maurits-cornelis-escher-published-by-g-w-breughel,24 nov 24,No usage
M.C. Escher - Balcony (1945),"€ 180,00",Auteur: maurits cornelis escher (1898-1972) titel: balkon (1945) afmeting: 65 x 55 cm copyright: uitgegeven door de m.c.escher com,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/a1509880895-m-c-escher-balcony-1945,24 nov 24,No usage
Maurits Cornelis Escher (1898-1972) - Magic Mirror (1946),"€ 150,00",Auteur: maurits cornelis escher (1898-1972) titel: magic mirror (1946) afmeting: 55 x 65cm copyright: the m.c. Escher company - ba,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/a1509880881-maurits-cornelis-escher-1898-1972-magic-mirror-1946,24 nov 24,No usage
Estilo tipo Escher - Ilusión óptica en Perspectiva Imposible,"€ 150,00",Hét online veilinghuis voor jou! Catawiki is het meest bezochte online platform in europa voor bijzondere objecten geselecteerd do,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/a1509880921-estilo-tipo-escher-ilusion-optica-en-perspectiva-imposible,24 nov 24,No usage
"Reptielen van Escher, Iproject muur/vloer puzzel",Bieden,Iproject reptielen van m.c. Escher. Het zijn grote kunststof reptielen die naadloos in elkaar passen. Super voor aan de muur of vo,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/m2180853259-reptielen-van-escher-iproject-muur-vloer-puzzel,17 okt 24,Ophalen of Verzenden
Escher sculptuur van vogel en vis.,Bieden,"Escher sculptuur van vogel en vis. Wij verkopen uitsluitend nieuwe sculpturen, verpakt in de originele verpakking en met certifica",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/m2203759522-escher-sculptuur-van-vogel-en-vis,20 nov 24,Ophalen of Verzenden
M.C. Escher Grafiek en tekeningen Uitgave Tijl 1959,"€ 4,50",Gebonden uitgave . Tekst van m.c. Escher zelf . Boek bestaat uit 76 pagina’s reprodukties van zijn werk .al deze 76 reprodukties b,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2178998669-m-c-escher-grafiek-en-tekeningen-uitgave-tijl-1959,15 okt 24,Ophalen of Verzenden
Escher sculptuur van vogel en vis.,Bieden,"Escher sculptuur van vogel en vis. Wij verkopen uitsluitend nieuwe sculpturen, verpakt in de originele verpakking en met certifica",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/m2187875372-escher-sculptuur-van-vogel-en-vis,27 okt 24,Ophalen of Verzenden
