Title,Price,Description,Link,Date,Usage
antiek geweer voor 1870 onklaar gemaakt *muurhanger*wtb18,"€ 180,00",Marktplaats team: dit geweer is onklaargemaakt volgens artikel 18 rwm en van voor 1870 en is daarom vrij te bezitten door personen,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/m2226653197-antiek-geweer-voor-1870-onklaar-gemaakt-muurhanger-wtb18,Vandaag,Ophalen of Verzenden
Boekenkast - Hout - antieke boekenmolen,"€ 310,00",Antieke boekenmolen met zeer fraaie afwerking boekenmolen staat op wieltjes en is draaibaar onderste laag maximale hoogte 31 cm bo,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509935408-boekenkast-hout-antieke-boekenmolen,Vandaag,No usage
Schwarzwalder Wandklok,"€ 200,00",Zeer mooie en oude duitse klok +/- 1920/30 afmeting 34 cm hoog en 25 cm breed  bevat veel stof 40 jaar stil gestaan  doe een bod,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/m2226794768-schwarzwalder-wandklok,Vandaag,Ophalen of Verzenden
Theepot - Porselein,"€ 69,00","Een antiek chinees blauw wit porseleinen theebus uit de 17e eeuw, kangxi periode. Prachtig diep kangxi blauw kleur. Geschilderd ro",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509864450-theepot-porselein,Vandaag,No usage
Staande Klok,"€ 199,50",Ik denk een franse staande klok  met een wijzer +/- 1880  koperen wijzerplaat eikenhouten kast  moet schoon gemaakt worden  maten,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/m2226800250-staande-klok,Vandaag,Ophalen of Verzenden
Merxsancta.nl voor al uw religieuze artikelen.,Zie omschrijving,"Ruim 15 jaar ervaring in het verkopen religieuze artikelen als liturgisch vaatwerk, rozenkransen, heiligenbeelden, kruizen en cruc",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-religie/a1379906903-merxsancta-nl-voor-al-uw-religieuze-artikelen,Vandaag,No usage
Antieke Scheepslamp? Bekijk onze nieuwe Scheepslampen (LED),Zie omschrijving,"Nieuwe scheepslampen van brons, messing en koper die meteen een antieke uitstraling geven zonder dat deze 100 jaar of ouder zijn.",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-lampen/a1018438906-antieke-scheepslamp-bekijk-onze-nieuwe-scheepslampen-led,Vandaag,Ophalen of Verzenden
Serviesset Wit Porselein (12 Stuks),"€ 72,30","Als u graag voor elk detail van uw huis zorgt en op de hoogte bent van producten die uw leven aangenamer maken, koopt dan serviess",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-servies-compleet/a1510011892-serviesset-wit-porselein-12-stuks,Vandaag,Verzenden
"Unieke handgemaakte asbeelden, urnbeelden en assculpturen",Zie omschrijving,Stopt u maar met zoeken: u heeft de gedenkwinkel gevonden met de mooiste asbeelden en herinneringsartikelen van nederland en belgi,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-glas-en-kristal/a1076093985-unieke-handgemaakte-asbeelden-urnbeelden-en-assculpturen,Vandaag,Ophalen of Verzenden
Glasschilderij – Vintage – 120x80cm,"€ 149,00","Nu tijdelijk 20% korting | van €186 naar €149!! 4Mm dik gehard glas, geen plexiglas uitstekend bestand tegen krassen en",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-modern/a1495510876-glasschilderij-vintage-120x80cm,Vandaag,Ophalen of Verzenden
"Franse gepatineerd en verguld bronzen pendule, 1830",Bieden,"Zeer fraaie franse verguld en gepatineerd bronzen pendule, omstreeks 1830. Wijzerplaat, gesigneerd “gomaijet hg de mgr le duc d’or",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/m2226751133-franse-gepatineerd-en-verguld-bronzen-pendule-1830,Vandaag,Ophalen
Nelson Bench DD design | bank,"€ 325,00",Nelson replica bank nelson bench eiken 183cm | 183/152/123 x 47 x 35 cm | essenhout. Bezoek onze website voor meer foto's en m,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1499043459-nelson-bench-dd-design-bank,Vandaag,Verzenden
Barcelona Pavillion DD design | bank,"€ 555,00",Rohe bank barcelona pavillion bank zwart | 130 x 52 x 45 cm | roestvrij staal. Vol italiaans aniline leer.. Bezoek onze website vo,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1499043364-barcelona-pavillion-dd-design-bank,Vandaag,Verzenden
Barcelona Pavillion DD design | bank,"€ 675,00","Rohe bank barcelona pavillion ottoman wit | 150x56x43cm. | Gepolijst roestvrijstalen basis, lederen zitting. Bezoek onze website v",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1499043365-barcelona-pavillion-dd-design-bank,Vandaag,Verzenden
8 oude koperen gekeurde gewichten en met stadsmerk.,Bieden,Deze gewichten werden vroeger vaak gebruikt door kleine ondernemers. Het waren de zogenaamde kruidenierswinkels en groenteboeren d,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-gereedschap-en-instrumenten/m2226792242-8-oude-koperen-gekeurde-gewichten-en-met-stadsmerk,Vandaag,Ophalen of Verzenden
Merxsancta.nl voor al uw religieuze artikelen.,Zie omschrijving,"Ruim 15 jaar ervaring in het verkopen religieuze artikelen als liturgisch vaatwerk, rozenkransen, heiligenbeelden, kruizen en cruc",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-religie/a1379906903-merxsancta-nl-voor-al-uw-religieuze-artikelen,Vandaag,No usage
Antieke bloemenstandaards,Bieden,"2 stuks antieke bloemenstandaards, hand gesmeed vakwerk.(Engels). Prachtig voor in een serre. Hoogte 85 cm/maat voor de binnenpot",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226399253-antieke-bloemenstandaards,Vandaag,Ophalen
Antieke brons salontafel (Art-Nouveau),"€ 500,00",Een antieke art nouveau salontafel met een naakte dame in brons die een glasplaat draagt. De tafel is ruim 60 jaar in mijn bezit -,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-tafels/m2224854274-antieke-brons-salontafel-art-nouveau,Vandaag,Ophalen
Nelson Bench DD design | bank,"€ 255,00",Nelson replica bank nelson bench eiken 123cm | 183/152/123 x 47 x 35 cm | essenhout. Bezoek onze website voor meer foto's en m,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1499043460-nelson-bench-dd-design-bank,Vandaag,Verzenden
Antieke geloogd grenen Biedermeier meidenkast vintage kast,Bieden,"Antieke brocante geloogd grenen (xl) biedermeier meidenkast / servieskast. Verkeert in goede en degelijke staat, de deuren zijn re",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226323674-antieke-geloogd-grenen-biedermeier-meidenkast-vintage-kast,Vandaag,Ophalen of Verzenden
2 prachtige oude koperen bouillotte lampen,Zie omschrijving,"Beide kappen in topstaat! Die met de bordeauxkap kan in hoogte versteld worden. Foto 2, 3 en 4 is van lamp met bordeaux kap, foto",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-lampen/m2226774407-2-prachtige-oude-koperen-bouillotte-lampen,Vandaag,Ophalen
Antieke Scheepslamp? Bekijk onze nieuwe Scheepslampen (LED),Zie omschrijving,"Nieuwe scheepslampen van brons, messing en koper die meteen een antieke uitstraling geven zonder dat deze 100 jaar of ouder zijn.",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-lampen/a1018438906-antieke-scheepslamp-bekijk-onze-nieuwe-scheepslampen-led,Vandaag,Ophalen of Verzenden
