Title,Price,Description,Link,Date,Usage
"Bijzettafel - Eik, Vurenhout - Vintage bijzettafel","€ 3,00","Ontdek de tijdloze poolse elegantie met deze prachtige tafel in provençaalse stijl, in de kleuren zwart en honing na een lichte re",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1510217260-bijzettafel-eik-vurenhout-vintage-bijzettafel,Vandaag,No usage
Zeer veel Antieke kasten | Op kleur gemaakt | uitneembaar,Op aanvraag,Deze kast is een van de vele kasten welke bij ons in de hal staan. Professioneel schoongemaakt en je kunt zelf de inhoud en kleur,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1451935144-zeer-veel-antieke-kasten-op-kleur-gemaakt-uitneembaar,Vandaag,No usage
Te koop gevraagd,Zie omschrijving,"Te koop gevraagd. Antieke landkaarten, gravures, prenten, boeken, atlassen 17-de, 18-de, 19-de eeuw. Stuur een foto naar pwj.bremm",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-etsen-en-gravures/a1476121207-te-koop-gevraagd,Vandaag,Ophalen of Verzenden
Plaatsnaambord met eigen plaatsnaam in vintage / retro stijl,"€ 35,00","Een oud plaatsnaambord van je eigen woonplaats aan de muur? Door de verweerde stijl, het roesteffect en het oude lettertype krijgt",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1488085740-plaatsnaambord-met-eigen-plaatsnaam-in-vintage-retro-stijl,Vandaag,Verzenden
Post-middeleeuws Grote antieke bronzen/messing bel met,"€ 400,00",Antieke gegoten bronzen bel oude kerkklok of eigendomsbel versierd met twee arabesque friezen en heraldische motieven. Diameter 26,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-niet-westerse-kunst/a1510096580-post-middeleeuws-grote-antieke-bronzen-messing-bel-met,Vandaag,No usage
"Bijzettafel - Eik, Vurenhout - Vintage bijzettafel","€ 3,00","Ontdek de tijdloze poolse elegantie met deze prachtige tafel in provençaalse stijl, in de kleuren zwart en honing na een lichte re",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1510217260-bijzettafel-eik-vurenhout-vintage-bijzettafel,Vandaag,No usage
Antiek Frans gemerkt blikken emmertje,"€ 55,00","Antiek frans gemerkt blikken emmertje hoogte zonder hengsel 14cm, hengsel kan ook naar beneden worden gedaan gedateerd rond 1920",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2228968109-antiek-frans-gemerkt-blikken-emmertje,Vandaag,Verzenden
Zeer veel Antieke kasten | Op kleur gemaakt | uitneembaar,Op aanvraag,Deze kast is een van de vele kasten welke bij ons in de hal staan. Professioneel schoongemaakt en je kunt zelf de inhoud en kleur,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1451935144-zeer-veel-antieke-kasten-op-kleur-gemaakt-uitneembaar,Vandaag,No usage
"antiek tin, Luikse kan",Bieden,Antiek tinnen luikse kan tinnen kan met gekroonde roos 26 cm hoog en 20 breed van handvat tot tuit 1690 gram conditie zie foto',https://www.marktplaats.nl/v/antiek-en-kunst/antiek-tin/m2228953330-antiek-tin-luikse-kan,Vandaag,Ophalen
Post-middeleeuws Grote antieke bronzen/messing bel met,"€ 400,00",Antieke gegoten bronzen bel oude kerkklok of eigendomsbel versierd met twee arabesque friezen en heraldische motieven. Diameter 26,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-niet-westerse-kunst/a1510096580-post-middeleeuws-grote-antieke-bronzen-messing-bel-met,Vandaag,No usage
Antieke Indonesische beteldoos met antieke betelnootkraker,"€ 100,00",De harde betelnoot of arekanoot is al eeuwen geliefd om zijn opwekkende werking. Je kan die noot kraken en in stukjes snijden met,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/m2228951844-antieke-indonesische-beteldoos-met-antieke-betelnootkraker,Vandaag,Verzenden
Stoplicht - kunstof - stoplicht drie kleur,"€ 40,00",Een mooi stoplicht uit nederland goed onderhouden werkt goed met schakelaar zie foto s . Hét online veilinghuis voor jou! Catawiki,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1510156724-stoplicht-kunstof-stoplicht-drie-kleur,Vandaag,No usage
Combinatie set Antiek Drank Kabinet + Commode,"€ 349,99","Hallo, hierbij biedt ik een meubelset aan, bestaande uit een drank kabinet en een commode.",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/m2226636231-combinatie-set-antiek-drank-kabinet-commode,Vandaag,Ophalen
M.C. Escher (1898-1972) - Wij komen er uit!,"€ 800,00","Prachtig werk van m. C. Escher: een houtsnede in de vorm van een wenskaart voor de jaarwisseling, uitgegeven door de nederlandsche",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1510147800-m-c-escher-1898-1972-wij-komen-er-uit,Vandaag,No usage
Mooie antieke Kast (bestaat uit 2 delen),"€ 120,00",Mooie antieke kast. Bestaat uit 2 delen (boven en onderkant).  Bovenkant afmetingen = 150 cm breed 34 cm diep 80 cm hoog onderkant,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/m2228530854-mooie-antieke-kast-bestaat-uit-2-delen,Vandaag,Ophalen of Verzenden
Antieke Franse voetstoof,"€ 65,00","Zeldzame antieke franse filigraan gegoten voetstoof. Gedateerd ca. 1930, Kleur zwart, compleet met wit ge-emaillleerd gietijzeren",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2228298321-antieke-franse-voetstoof,Vandaag,Ophalen of Verzenden
Wijnglas - Glas - 3-knoops slingerglas,"€ 61,00","Zeldzaam 3-knoops slingerglas, engeland of nederland 1750-1800 kleine chip in voet en heel klein chipje aan bovenkant. (Kelk). Zie",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-glas-en-kristal/a1510150670-wijnglas-glas-3-knoops-slingerglas,Vandaag,No usage
Lijst - Hout - Antieke geveegde foto,"€ 10,00","Antieke geveegde fotolijst lijst - fotolijst, lijst - gips, hout - gouden lijst antieke geveegde fotolijst fotolijst goud framelen",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1510096462-lijst-hout-antieke-geveegde-foto,Vandaag,No usage
