Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
MacBook Pro 2015,"€ 275,00",Te koop: macbook pro 2015 in uitstekende staat deze macbook pro uit 2015 is altijd netjes verzorgd en goed onderhouden. Geen krass,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2216760758-macbook-pro-2015,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Apple MacBook Pro 16 2019 | Core i9 / 32GB / 512GB SSD,"€ 945,00",Apple macbook pro retina 16 met touchbar nieuw in geopende verpakking razendsnelle macbook met intel core i9 processor en 32gb ram,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1508861421-apple-macbook-pro-16-2019-core-i9-32gb-512gb-ssd,Vandaag,Nieuw,Unknown,Unknown,Vandaag
macbook pro 14 m1 spg 1gb 512ssd is echt nieuw maar 38 cycli,"€ 1.000,00",Te koop echt nog nieuwe schadevrije macbook pro 14 inch met 16gb werkgeheugen en 512ssd opslag macbook is spacegray van kleur en v,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2224638990-macbook-pro-14-m1-spg-1gb-512ssd-is-echt-nieuw-maar-38-cycli,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
"Macbook Pro 15"" 2016 Touchbaar, i7 2.9Ghz, 16GB, 1TB opslag","€ 475,00","Te koop aangeboden, wegens overgestapt naar nieuwe macbook pro. Macbook pro 15"" 2016 i7 2.9 Ghz 16gb werkgeheugen 1tb opslag",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2216757308-macbook-pro-15-2016-touchbaar-i7-2-9ghz-16gb-1tb-opslag,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
Refurbished Microsoft Surface Book 3 - i5-1035G7 8GB 256GB,"€ 275,00",Ben je op zoek naar een krachtige en veelzijdige laptop die zowel voor werk als ontspanning geschikt is? Dan is deze refurbished m,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508465342-refurbished-microsoft-surface-book-3-i5-1035g7-8gb-256gb,Vandaag,Refurbished,Unknown,Unknown,Vandaag
"Macbook Pro 14', 2021, M1 Max, 1TB, 64GB, 16‑core NE","€ 1.700,00",Hi! I am selling my beloved macbook pro from 2021. I bought it at the apple store in amsterdam :) i took excellent care of it all,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2204964835-macbook-pro-14-2021-m1-max-1tb-64gb-16-core-ne,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
ipad pro 256 gig 13 inch wifi+5g 2024 aankoop 30-05-2024,"€ 1.250,00",Ik heb op 30-05-2024 een ipad pro 13 inch kleur space black wifi+5g en een macbook gekocht. Alleen merk ik dat de ipad niet gebrui,https://www.marktplaats.nl/v/computers-en-software/apple-ipads/m2226370115-ipad-pro-256-gig-13-inch-wifi-5g-2024-aankoop-30-05-2024,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Apple MacBook Air 13.3 Inch - M1 chip - 8GB RAM/256GB SSD,"€ 569,95",Welkom bij refurb market! Graag bieden wij u het volgende aan: - nieuw op voorraad - apple macbook air 13.3 A grade* originele doo,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2214690645-apple-macbook-air-13-3-inch-m1-chip-8gb-ram-256gb-ssd,17 jan 25,Refurbished,Unknown,Unknown,17 jan 25
Apple Macbook PRO 2020 A2251 13.3 inch i7 16GB 512GB,"€ 649,00","De apple macbook pro 2020 a2251 combineert kracht en stijl in een compact 13,3-inch design. Uitgerust met een intel core i7-10e-pr",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508622274-apple-macbook-pro-2020-a2251-13-3-inch-i7-16gb-512gb,17 jan 25,Zo goed als nieuw,Unknown,Unknown,17 jan 25
Macbook Pro 16 inch.Zwart. M3 Pro. 36GB Memory. 512GB SSD,"€ 1.800,00","High-quality laptop with warranty until february 2025 i'm selling my former company laptop, which i was allowed to keep after",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2220062350-macbook-pro-16-inch-zwart-m3-pro-36gb-memory-512gb-ssd,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
