Title,Price,Description,Link,Date,Usage
Lenovo TinkCentre SFF M720s i3-8100 8GB 256GB NVMe W11,"€ 129,00",Welkom bij pc magnaat! Graag bieden wij u het volgende aan: merk : lenovo model serie: thinkcentre model type: m720s formaat: midd,https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1509614818-lenovo-tinkcentre-sff-m720s-i3-8100-8gb-256gb-nvme-w11,Vandaag,Gebruikt
HP Laserprinter Pro M281 fdw incl.5 cartridges 80% en 100%,"€ 325,00","Mooie hp pro m281 fdw laserprinter, werkt prima. Incl 5 cartridges 2 203x zwart 80 % en 100 %                              1 203x",https://www.marktplaats.nl/v/computers-en-software/printers/m2224963201-hp-laserprinter-pro-m281-fdw-incl-5-cartridges-80-en-100,Vandaag,Zo goed als nieuw
HP Zbook Fury 15 G7 | Intel i7 | 32 GB | Nvidia RTX3000,"€ 999,00","Refurbished a grade, enkele minimale gebruikerssporen op de behuizing wij hebben dit model in onze webshop ook met rtx5000 16gb vi",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1506004972-hp-zbook-fury-15-g7-intel-i7-32-gb-nvidia-rtx3000,Vandaag,Refurbished
Dell Optiplex 3070 MFF i3-9100T 8GB 128GB NVMe Windows11,"€ 139,00",Welkom bij pc magnaat! Graag bieden wij u het volgende aan: merk : dell model serie: optiplex model type: 3070 formaat: klein (tin,https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1509614816-dell-optiplex-3070-mff-i3-9100t-8gb-128gb-nvme-windows11,Vandaag,Zo goed als nieuw
HP ProDesk 600 G5 DM i3 8GB DDR4 256GB NVMe Windows 11/10,"€ 169,00",Welkom bij pc magnaat! Graag bieden wij u het volgende aan: merk : hp model serie: prodesk model type: 600 g5 formaat: klein (tiny,https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1509614894-hp-prodesk-600-g5-dm-i3-8gb-ddr4-256gb-nvme-windows-11-10,Vandaag,Zo goed als nieuw
HP USB-C Dock Universal 90W USB 3.0 (3.1 Gen 1 Type-C ),"€ 44,99",Welkom bij pc magnaat! Graag bieden wij u het volgende aan: merk : hp model: 1mk33aa hostinterface: usb-type-c video in: 2x displa,https://www.marktplaats.nl/v/computers-en-software/dockingstations/a1509614881-hp-usb-c-dock-universal-90w-usb-3-0-3-1-gen-1-type-c,Vandaag,Gebruikt
"2.5 en 3.5 Server SAS, SATA Harddisks HDD en SSD HP DELL",Zie omschrijving,"Zowel 2.5"" sff sas en sata schijven als 3.5"" lff harddisks voorradig. Ook ssd's hgst, samsung, seagate, hitachi, wes",https://www.marktplaats.nl/v/computers-en-software/harde-schijven/a1292034040-2-5-en-3-5-server-sas-sata-harddisks-hdd-en-ssd-hp-dell,Vandaag,Nieuw
HP Z440 Workstation | XEON / 16GB ram / 256GB SSD,"€ 179,00","Hp z440 workstation zeer krachtige tower pc, voorzien van een intel xeon processor en 256gb ssd deze pc beschikt over een quadro k",https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1497307768-hp-z440-workstation-xeon-16gb-ram-256gb-ssd,Vandaag,Gebruikt
HP EB 840 G1 i5-4TH HP PB 6550B i5 €80/€50,"€ 50,00","Hp elitebook 840 g1 laptop i5-4300u 2.5Ghz/8gb/128gb ssd/14""/ good battery/ac adapter/w10€80 hp probook 6550b i5 m520 2",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2226406609-hp-eb-840-g1-i5-4th-hp-pb-6550b-i5-80-50,Vandaag,Gebruikt
HP Z Display Z30i Monitor 30 inch Breedbeeld 2K Resolutie...,"€ 125,00","Nu in de aanbieding van € 149,00 voor € 125,00! L&o computers maakt de verkoop van gebruikte ex-lease producten moge",https://www.marktplaats.nl/v/computers-en-software/monitoren/a1506777350-hp-z-display-z30i-monitor-30-inch-breedbeeld-2k-resolutie,Vandaag,Zo goed als nieuw
HP Z Display Z30i Monitor 30 inch Breedbeeld 2K Resolutie...,"€ 99,00","L&o computers maakt de verkoop van gebruikte ex-lease producten mogelijk door deze in de productieafdeling te controleren, tes",https://www.marktplaats.nl/v/computers-en-software/monitoren/a1506777347-hp-z-display-z30i-monitor-30-inch-breedbeeld-2k-resolutie,Vandaag,Gebruikt
HP Probook 430 G5 Intel Core i3 8130U | 8GB DDR4 | 128GB...,"€ 149,00","L&o computers maakt de verkoop van gebruikte ex-lease producten mogelijk door deze in de productieafdeling te controleren, tes",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1507288435-hp-probook-430-g5-intel-core-i3-8130u-8gb-ddr4-128gb,Vandaag,Zo goed als nieuw
HP ProBook 450 G9 - Core i5-1235U / 8GB / 256GB NVMe SSD,"€ 499,99","Hp probook 450 g9 intel core | i5-1235u (max. 4.4 Ghz) 15.6 Inch full hd ips led, resolutie 1920x1080 8gb ddr4 sdram werkgeheugen",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1509386255-hp-probook-450-g9-core-i5-1235u-8gb-256gb-nvme-ssd,Vandaag,Zo goed als nieuw
